repo_code	file_id	object_id	file_format	file_name	file_size	md5_sum	index_object_id	donor_id/donor_count	project_id/project_count	study	bundle_id
collaboratory	FI815442	229ad575-9b4c-5fc2-9a43-c31aaa819927	BAM	fa67ff4edd4029974c73c2244e095581.1885_60x_sort_dup_rea_recal.bam	263534537964	fa67ff4edd4029974c73c2244e095581		DO227477	LAML-KR		EGAR00001634197
collaboratory	FI815449	a8d2d16e-1d8a-54c9-b93b-a31d11eaee9f	BAM	f1de1ec6998cfaf9d9e2d6f081c1524c.321_H07RK_L006_60x_sort_dup_rea_recal.bam	257502391218	f1de1ec6998cfaf9d9e2d6f081c1524c		DO227489	LAML-KR		EGAR00001634199
collaboratory	FI815422	c35b8883-2901-566b-a66e-886b7c581511	BAM	47cdf852004b5fcad328a647d3ee6819.1449_SD_sorted_dupl_realign_recalib.bam	75975675133	47cdf852004b5fcad328a647d3ee6819		DO230663	LAML-KR		EGAR00001671365
collaboratory	FI815436	58e169cb-de96-55b0-aa33-3c91cb94c7ef	BAM	17883de0316a822e6d38e84535eedb9b.1423_60x_sort_dup_rea_recal.bam	258077818496	17883de0316a822e6d38e84535eedb9b		DO227504	LAML-KR		EGAR00001634204
collaboratory	FI815441	2c97093b-91b2-5296-9136-6b1845fd1308	BAM	7865325134f1f9429ecd78dbfa1fdb1f.1358-1_H07RK_60x_sort_dup_rea_recal.bam	259625634825	7865325134f1f9429ecd78dbfa1fdb1f		DO227486	LAML-KR		EGAR00001634198
collaboratory	FI815438	47553e06-25a5-5e9c-b131-b90dcf8d490d	BAM	1eab2c53e1ff207cf70a1bffb58460d8.2301_H02LT_60x_sort_dup_rea_recal.bam	261060502172	1eab2c53e1ff207cf70a1bffb58460d8		DO227499	LAML-KR		EGAR00001634202
collaboratory	FI815380	cfd80002-2fed-5a8d-b8c9-72149a6e1049	BAM	48d7302c8b8cc393e256696309836975.1956-3_H0BF8_30x_sort_dup_rea_recal.bam	144490021451	48d7302c8b8cc393e256696309836975		DO227477	LAML-KR		EGAR00001634187
collaboratory	FI815434	eb1ec24c-3e94-54af-b574-718f48240abe	BAM	b7ff46ed9838e1ac0aa50b778d1f6ed9.990_H02J1_60x_sort_dup_rea_recal.bam	251293033412	b7ff46ed9838e1ac0aa50b778d1f6ed9		DO227496	LAML-KR		EGAR00001634201
collaboratory	FI815373	cce204a2-d2ce-5c22-8f2e-86977c6d2064	BAM	0095d31fde1e5ab149a41b6426d813a3.1749_SD_H0BGF_30x_sort_dup_rea_recal.bam	108333417725	0095d31fde1e5ab149a41b6426d813a3		DO227489	LAML-KR		EGAR00001634189
collaboratory	FI815383	3227f8bc-2a33-5e56-88d8-9d93a0b07ff0	BAM	a8b2974afc8a76d23b827c6e7db36eba.536SD_H02LT_30x_sort_dup_rea_recal.bam	131389196005	a8b2974afc8a76d23b827c6e7db36eba		DO227496	LAML-KR		EGAR00001634191
collaboratory	FI815454	2dd45f1b-c759-5f43-b3fa-e37cbca5cdfa	BAM	547dfdce9469d317fce993c9db1d193c.1477_1_H08GN_60x_sort_dup_rea_recal.bam	265435791878	547dfdce9469d317fce993c9db1d193c		DO227491	LAML-KR		EGAR00001634200
collaboratory	FI815374	427d8099-9021-5e8c-a276-d0e43dcaa429	BAM	50676eb8e6566e3b15c6ab2ae93d9dcd.2392SD_H07MN_30x_sort_dup_rea_recal.bam	128887241887	50676eb8e6566e3b15c6ab2ae93d9dcd		DO227516	LAML-KR		EGAR00001634196
collaboratory	FI815372	9968d945-9279-5af8-a5c6-9e2490657b05	BAM	8e726a336fadf3dd16cf2ecb91a0e182.1815_SD_H07RH_30x_sort_dup_rea_recal.bam	108044357451	8e726a336fadf3dd16cf2ecb91a0e182		DO227491	LAML-KR		EGAR00001634190
collaboratory	FI815424	bf210d6c-2aba-5bb8-95f5-805d56ef2ff3	BAM	0d5c7a4955edcf0bdd0311fee118e541.856_6_sorted_dupl_realign_recalib.bam	87140869292	0d5c7a4955edcf0bdd0311fee118e541		DO230659	LAML-KR		EGAR00001671366
collaboratory	FI815440	97d3d6eb-55f3-5203-9368-6bff72721594	BAM	ee9473ffe78a4e438ed07cfba6296a36.880_H00NR_60x_sort_dup_rea_recal.bam	276059361700	ee9473ffe78a4e438ed07cfba6296a36		DO227501	LAML-KR		EGAR00001634203
collaboratory	FI815439	c2edfcda-a9f9-506f-b131-fa6c0110c8b4	BAM	0f33f987abd8756f27459f4c596eaea1.2558_H08H5_60x_sort_dup_rea_recal.bam	270132482559	0f33f987abd8756f27459f4c596eaea1		DO227516	LAML-KR		EGAR00001634206
collaboratory	FI815375	e50c8279-ea55-5a2a-9e28-373d1cc402d0	BAM	71fc071574776457207889ea8aa2a7bb.476SD_H02LT_30x_sort_dup_rea_recal.bam	130351738578	71fc071574776457207889ea8aa2a7bb		DO227513	LAML-KR		EGAR00001634195
collaboratory	FI815382	5ba4314a-10c1-5a0f-a231-14463342cb7f	BAM	33ef803dda5958a862e12f6d32263f15.1536SD_H02C5_30x_sort_dup_rea_recal.bam	141783296681	33ef803dda5958a862e12f6d32263f15		DO227499	LAML-KR		EGAR00001634192
