repo_code	file_id	object_id	file_format	file_name	file_size	md5_sum	index_object_id	donor_id/donor_count	project_id/project_count	study	bundle_id
collaboratory	FI801259	a9c45936-607f-537b-81f9-fb1b9bd48609	BAM	403f6ed1b309ce322c172b29b205f407.ls3257_C8VRLANXX_3_9nf.ua.bam	10390863236	403f6ed1b309ce322c172b29b205f407		DO229094	UTCA-FR		EGAR00001526511
collaboratory	FI801283	168a73f8-4436-52e8-9935-a78d105aee0b	BAM	b8f70265279f0ec90d9c024e2d5201c1.ls2775_C6H7LANXX_4_25nf.ua.bam	25095381150	b8f70265279f0ec90d9c024e2d5201c1		DO229539	UTCA-FR		EGAR00001598324
collaboratory	FI801286	db855377-cdd8-5b66-adf6-32dd29cd35e1	BAM	4ffad5c80d44879bdb0a1f7e6b719b0b.ls3414_C9FD4ANXX_5_10nf.ua.bam	11935943251	4ffad5c80d44879bdb0a1f7e6b719b0b		DO229094	UTCA-FR		EGAR00001526536
collaboratory	FI801291	34821da5-a185-5e6a-8d37-00afb7b3ce60	BAM	48c692f8034a9a6cd9aa53c6b24df2c6.ls3369_C8W3DANXX_2_3nf.ua.bam	9968261870	48c692f8034a9a6cd9aa53c6b24df2c6		DO229545	UTCA-FR		EGAR00001598547
collaboratory	FI802900	4a7671c8-deed-50bb-a135-cbe5f810cd94	BAM	b76753b5e99be1aea92a942ad3e81084.ls3264_C8VRLANXX_7_15nf.ua.bam	12368838951	b76753b5e99be1aea92a942ad3e81084		DO229102	UTCA-FR		EGAR00001526652
collaboratory	FI801659	56ef5586-3016-5a82-93e4-412e95207e7a	BAM	70ef2ddb925cc9140a44f945ed2e0e6e.ls2779_C4PB0ANXX_8_6nf.ua.bam	22377755956	70ef2ddb925cc9140a44f945ed2e0e6e		DO229540	UTCA-FR		EGAR00001598340
collaboratory	FI801626	9591d2ff-1c85-516e-aa94-0bbd9a993414	BAM	d77887b8934151f2df10d2ad7642dfb2.ls3310_C9HBKANXX_8_22nf.ua.bam	7247901666	d77887b8934151f2df10d2ad7642dfb2		DO229094	UTCA-FR		EGAR00001526503
collaboratory	FI801644	4c14fef3-ba03-55c4-9909-60d06563a9fc	BAM	ad9c70aa4051e5205f069f7a04f50990.ls3653_C9KH9ANXX_8_11nf.ua.bam	18446767963	ad9c70aa4051e5205f069f7a04f50990		DO229546	UTCA-FR		EGAR00001598612
collaboratory	FI801606	f7971ce5-34b2-5c58-a41b-35aa50366949	BAM	e0323aa163300d017b151860d45ee2c8.ls3149_C79P1ANXX_6_16nf.ua.bam	12651388581	e0323aa163300d017b151860d45ee2c8		DO229543	UTCA-FR		EGAR00001598494
collaboratory	FI801602	2e903853-6daf-5c07-9495-e12fde451c5d	BAM	bc71df6466d08a3d10efe65de492e5c6.ls3627_C9KN3ANXX_1_16nf.ua.bam	7714293179	bc71df6466d08a3d10efe65de492e5c6		DO229104	UTCA-FR		EGAR00001526726
collaboratory	FI801587	6e0e73b8-aa08-5e31-90cc-0a6cce7a99ae	BAM	9b6c43d61c913241ed667659545695f9.ls3107_C79P1ANXX_3_16nf.ua.bam	11989763502	9b6c43d61c913241ed667659545695f9		DO229543	UTCA-FR		EGAR00001598486
